,0
JD,2459986
Date,2-10-2023
LST Range,3.900 -- 13.867 hours
X-Engine Status,Y Y Y Y Y Y Y Y 
Number of Files,1852
Total Number of Antennas,198
 ,
OPERATIONAL STATUS SUMMARY,
Antenna A Priori Status Count,dish_maintenance: 10 dish_ok: 1 RF_maintenance: 50 RF_ok: 19 digital_ok: 93 not_connected: 25
Commanded Signal Source,None
Antennas in Commanded State (reported),0 / 198 (0.0%)
Antennas in Commanded State (observed),0 / 198 (0.0%)
Cross-Polarized Antennas,
Total Number of Nodes,19
Nodes Registering 0s,
Nodes Not Correlating,
  ,
NIGHTLY ANALYSIS SUMMARY,
Ant Metrics Done?,Y
Ant Metrics Flagged Antennas,53 / 198 (26.8%)
Auto Metrics Done?,Y
Auto Metrics Flagged Antennas,114 / 198 (57.6%)
Redcal Done?,N
Never Flagged Antennas,84 / 198 (42.4%)
A Priori Good Antennas Flagged,"45 / 93 total a priori good antennas: 3, 7, 15, 16, 19, 20, 29, 30, 40, 42, 45, 53, 54, 55, 71, 72, 81, 86, 94, 101, 103, 107, 109, 111, 121, 122, 123, 127, 136, 144, 149, 151, 158, 161, 165, 170, 173, 182, 185, 187, 189, 191, 192, 193, 202"
A Priori Bad Antennas Not Flagged,"36 / 105 total a priori bad antennas: 4, 8, 22, 35, 43, 46, 48, 49, 61, 62, 64, 73, 74, 89, 102, 115, 125, 126, 132, 133, 137, 220, 222, 223, 226, 228, 229, 237, 238, 239, 241, 244, 245, 261, 324, 325"
