,Ant,Node,A Priori Status,Auto Metrics Flags,Dead Fraction in Ant Metrics (Jee),Dead Fraction in Ant Metrics (Jnn),Crossed Fraction in Ant Metrics,ee Shape Modified Z-Score,nn Shape Modified Z-Score,ee Power Modified Z-Score,nn Power Modified Z-Score,ee Temporal Variability Modified Z-Score,nn Temporal Variability Modified Z-Score,ee Temporal Discontinuties Modified Z-Score,nn Temporal Discontinuties Modified Z-Score,Average Dead Ant Metric (Jee),Average Dead Ant Metric (Jnn),Average Crossed Ant Metric
0,"<a href=""https://htmlpreview.github.io/?https://github.com/HERA-Team/H6C_Notebooks/blob/main/antenna_report/antenna_3_report.html"" target=""_blank"">3</a>",N01,digital_ok,1.0,1.0,1.0,0.0,10.249252187657108,13.591695846169497,9.83565607757099,10.513638611914619,8.988086708116889,11.00309554430775,0.10712477195198121,0.3336678982559217,0.030611699866912454,0.03372719994823285,0.003872329256317546
1,"<a href=""https://htmlpreview.github.io/?https://github.com/HERA-Team/H6C_Notebooks/blob/main/antenna_report/antenna_4_report.html"" target=""_blank"">4</a>",N01,RF_maintenance,1.0,0.0,0.0,0.0,1.210046005872233,0.1349953253376144,1.041413132427671,0.3956906103808536,4.219766135902066,0.1743045831253126,18.380200430316773,3.7536061607673465,0.5894256833171184,0.6074139769283067,0.40033862008639487
2,"<a href=""https://htmlpreview.github.io/?https://github.com/HERA-Team/H6C_Notebooks/blob/main/antenna_report/antenna_5_report.html"" target=""_blank"">5</a>",N01,digital_ok,0.0,0.0,0.0,0.0,1.0000798098889667,0.47847465954221396,0.3600539367001678,0.29729710473498794,0.5282177695644787,2.198577799272529,1.1730588105663304,1.1867919152295612,0.6021125392245137,0.6037893927827537,0.38675543921879046
3,"<a href=""https://htmlpreview.github.io/?https://github.com/HERA-Team/H6C_Notebooks/blob/main/antenna_report/antenna_7_report.html"" target=""_blank"">7</a>",N02,digital_ok,1.0,0.0,0.0,0.0,-0.9920581660234031,0.006761768162668384,-1.0483606904411724,-0.24902945280427916,0.179574077223207,0.2917306875734716,10.1313696984113,8.176742682961773,0.6116664922226465,0.6235345850797983,0.38585095280304443
4,"<a href=""https://htmlpreview.github.io/?https://github.com/HERA-Team/H6C_Notebooks/blob/main/antenna_report/antenna_8_report.html"" target=""_blank"">8</a>",N02,RF_maintenance,0.0,0.0,0.0,0.0,0.09153252857591017,-1.38947218761384,-0.4543992458702146,0.14541478895919313,-0.16858846377794384,0.5291623488985007,0.9123203843820826,1.0537046861593062,0.6111384493401363,0.6196907865609137,0.3820721413063522
5,"<a href=""https://htmlpreview.github.io/?https://github.com/HERA-Team/H6C_Notebooks/blob/main/antenna_report/antenna_9_report.html"" target=""_blank"">9</a>",N02,digital_ok,0.0,0.0,0.0,0.0,1.2989578201669127,-0.6176759445722015,2.968845209112445,-1.070153017851567,0.4846218347166234,-0.16134773883899198,2.4791614458240785,-0.7803963851882516,0.5858852340588606,0.6211559055135274,0.39378345002609155
6,"<a href=""https://htmlpreview.github.io/?https://github.com/HERA-Team/H6C_Notebooks/blob/main/antenna_report/antenna_10_report.html"" target=""_blank"">10</a>",N02,digital_ok,1.0,0.0,0.0,0.0,0.0553620140019106,-0.4504678529270704,-0.5366523887873191,-1.2427321764027601,11.885789666986438,0.6425031550086909,1.6228813488329819,1.5852397661917053,0.6012000990518532,0.6171025997957651,0.38409329059782094
7,"<a href=""https://htmlpreview.github.io/?https://github.com/HERA-Team/H6C_Notebooks/blob/main/antenna_report/antenna_15_report.html"" target=""_blank"">15</a>",N01,digital_ok,1.0,1.0,1.0,0.0,10.501592473626044,13.340380571316949,9.253698051795432,9.916832244235279,8.992430636194738,11.003475388682467,-0.44472663563339937,-0.40235877298154604,0.027884569089279925,0.026547149133477686,0.0016411836926215205
8,"<a href=""https://htmlpreview.github.io/?https://github.com/HERA-Team/H6C_Notebooks/blob/main/antenna_report/antenna_16_report.html"" target=""_blank"">16</a>",N01,digital_ok,1.0,1.0,0.0,0.0,10.455883083724046,-0.8131730120143614,9.802131605015086,0.8945024974075909,8.996139161304233,2.113280531182044,0.1753749516986531,2.3474015664741765,0.03299191685036193,0.6169385599136432,0.49224006499389034
9,"<a href=""https://htmlpreview.github.io/?https://github.com/HERA-Team/H6C_Notebooks/blob/main/antenna_report/antenna_17_report.html"" target=""_blank"">17</a>",N01,digital_ok,0.0,0.0,0.0,0.0,1.1038694375039195,1.851714940463264,0.5766822449255145,0.49930400059341346,0.8410308454289472,0.6745272480006871,1.7546958278535316,2.869010521491811,0.6112152108595019,0.6244523761188192,0.3885663545374094
